BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 25 ; Match ; 0 ; 4. ; 8,8 ; h ; -424,1 ; 1657,6 ; 1710,99 ; 104,351 ; 18:04:00 ; 240,0781 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 2 ; 132 ; Match ; 0 ; 2. ; 7,9 ; j ; -1461,7 ; 1923,7 ; 2416,03 ; 127,229 ; 18:16:24 ; 125,515 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 25 ; Match ; 0 ; 5. ; 7,3 ; h ; 347 ; 2883,9 ; 2904,7 ; 83,139 ; 18:04:28 ; 268,1241 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 1. ; 9,6 ; g ; 1012,6 ; 258,6 ; 1045,1 ; 14,326 ; 18:38:57 ; 18,265 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 2 ; 132 ; Match ; 0 ; 3. ; 9,9 ; l ; -682,7 ; -419,1 ; 801,08 ; 211,545 ; 18:17:02 ; 163,671 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 46 ; Match ; 0 ; 1. ; 8 ; f ; -2351,2 ; -353 ; 2377,55 ; 188,538 ; 18:27:46 ; 94,515 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 25 ; Match ; 0 ; 6. ; 7,1 ; j ; -2334,9 ; 1986,8 ; 3065,8 ; 139,605 ; 18:05:03 ; 302,9371 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 2. ; 8,8 ; j ; -1384,7 ; 1019,5 ; 1719,53 ; 143,637 ; 18:39:25 ; 47,125 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 2 ; 132 ; Match ; 0 ; 5. ; 10,4 ; i ; 45 ; -434,4 ; 436,72 ; 275,914 ; 18:18:47 ; 268,578 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 25 ; Match ; 0 ; 7. ; 7,1 ; i ; -346,7 ; -3100,6 ; 3119,92 ; 263,62 ; 18:06:29 ; 389,5781 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 67 ; Match ; 0 ; 4. ; 8,9 ; j ; -1294,6 ; 1031,5 ; 1655,29 ; 141,453 ; 18:40:53 ; 135,078 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 67 ; Match ; 0 ; 5. ; 9,6 ; f ; -1043,4 ; 44 ; 1044,33 ; 177,585 ; 18:41:21 ; 163,093 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 46 ; Match ; 0 ; 3. ; 10,5 ; R ; 400,6 ; 14,3 ; 400,86 ; 2,044 ; 18:29:52 ; 220,953 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 2 ; 132 ; Match ; 0 ; 6. ; 9,3 ; i ; -113,4 ; -1304,4 ; 1309,32 ; 265,031 ; 18:19:29 ; 310,781 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 8. ; 10,5 ; R ; -144,7 ; 308 ; 340,3 ; 115,152 ; 18:43:56 ; 317,265 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 25 ; Match ; 0 ; 9. ; 8,6 ; h ; 229,4 ; 1871,9 ; 1885,9 ; 83,013 ; 18:09:53 ; 593,5311 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 2 ; 132 ; Match ; 0 ; 10. ; 9,3 ; j ; -1093,7 ; 795,7 ; 1352,52 ; 143,963 ; 18:22:20 ; 482,093 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 9. ; 10,5 ; R ; 27,7 ; 345,3 ; 346,41 ; 85,414 ; 18:44:32 ; 353,52 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 25 ; Match ; 0 ; 10. ; 7,8 ; f ; -2416,1 ; 730,4 ; 2524,09 ; 163,18 ; 18:10:30 ; 629,9531 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 10. ; 10,2 ; j ; -357,7 ; 511,5 ; 624,16 ; 124,966 ; 18:45:12 ; 394,171 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 25 ; Match ; 0 ; 11. ; 6,2 ; l ; -1839,3 ; -3328,9 ; 3803,24 ; 241,078 ; 18:11:00 ; 660,3741 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 83 ; Match ; 0 ; 2. ; 6,1 ; m ; 1903,7 ; -3348,7 ; 3851,99 ; 299,618 ; 18:54:57 ; 120,8116 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 2. ; 10,4 ; m ; 217,7 ; -412,4 ; 466,33 ; 297,829 ; 18:43:25 ; 148,3279 ; 16.07.2016 ; SpO 1.80 ; frei ; 
